sender_known_malicious,sender_domain_reputation_score,sender_spoof_detected,sender_temp_email_likelihood,dmarc_enforced,sender_name_similarity_to_vip,spf_result,dkim_result,dmarc_result,reverse_dns_valid,packer_detected,any_file_hash_malicious,max_metadata_suspicious_score,malicious_attachment_count,has_executable_attachment,unscannable_attachment_present,total_components_detected_malicious,total_yara_match_count,total_ioc_count,max_behavioral_sandbox_score,max_amsi_suspicion_score,any_macro_enabled_document,any_vbscript_javascript_detected,any_active_x_objects_detected,any_network_call_on_open,max_exfiltration_behavior_score,any_exploit_pattern_detected,total_embedded_file_count,max_suspicious_string_entropy_score,max_sandbox_execution_time,unique_parent_process_names,return_path_mismatch_with_from,return_path_known_malicious,return_path_reputation_score,reply_path_known_malicious,reply_path_diff_from_sender,reply_path_reputation_score,smtp_ip_known_malicious,smtp_ip_geo,smtp_ip_asn,smtp_ip_reputation_score,domain_known_malicious,url_count,dns_morphing_detected,domain_tech_stack_match_score,url_decoded_spoof_detected,url_reputation_score,ssl_validity_status,site_visual_similarity_to_known_brand,url_rendering_behavior_score,link_rewritten_through_redirector,token_validation_success,is_high_risk_role_targeted,urgency_keywords_present,request_type,content_spam_score,user_marked_as_spam_before,bulk_message_indicator,unsubscribe_link_present,marketing_keywords_detected,html_text_ratio,image_only_email,total_links_detected,url_shortener_detected,url_redirect_chain_length,final_url_known_malicious,tls_version,Analysis_of_the_qrcode_if_present,Final Classification,safe_confidence,Binary_Label
False,0.4376017838262024,True,0.6375185412695629,False,0.7751452208903983,fail,neutral,none,False,False,False,0.0075407650250369,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,0,0.1814333935097659,0.0,,True,False,0.4144134481251622,False,True,0.3595378446737295,True,0.6720472681484182,0.5202754092099718,0.4838341426455538,False,2,False,0.1422077568713531,False,0.4883949714803654,valid,0.7489653232513391,0.5553965126081524,False,False,False,True,gift_card_request,0.4680177428033322,False,False,False,0.3648392527241051,0.7412251489528651,False,3,True,1,True,TLS 1.2,0,Warning,0.2876416561321708,Not-Safe
True,0.3778940625246094,True,0.5593072934662047,False,0.5557881211311135,fail,none,neutral,True,False,False,0.0747434985694763,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,0,0.0988095230570361,0.0,,True,False,0.4375736370037306,False,True,0.2128177118642302,False,0.6106718882921157,0.6113941423312477,0.285896219075185,False,5,False,0.4805449572621357,True,0.5542871242708713,valid,0.6862212699005438,0.7037349263586756,True,True,True,True,gift_card_request,0.3623633398918808,False,False,False,0.2773513700515552,0.6671667450272409,False,1,False,2,True,TLS 1.2,0,Warning,0.2667517535105654,Not-Safe
False,0.7847136943303213,False,0.0844835311677179,False,0.1192812616905412,pass,pass,pass,True,False,False,0.1404839916691318,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,0,0.0434142644609503,0.0,,False,False,0.660444456546372,False,False,0.912446626636858,False,0.0077644020971126,0.0730541512434286,0.7442930152067043,False,3,False,0.8119300327205625,False,0.8285898490579349,valid,0.0256004137379594,0.1067309119170724,False,True,True,False,none,0.3215790014539446,False,False,True,0.2151779820280963,0.8379116142185399,False,3,False,0,False,TLS 1.2,0,No Action,0.8954079479777209,Safe
False,0.7797573988849458,False,0.0635088145974778,False,0.1333730183554032,fail,pass,pass,True,False,False,0.0318002175517561,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,0,0.0575865296497464,0.0,,False,False,0.6661301670221137,False,False,0.7133254072900667,False,0.16540943788899,0.0795998182855257,0.7688107313944014,False,2,False,0.8397190665353493,False,0.7233696163932647,valid,0.1308731732654555,0.0808823878576541,False,True,False,False,none,0.3174347134268288,False,False,False,0.1567188567051848,0.7815587281721109,False,5,False,1,False,TLS 1.3,0,No Action,0.7942696924491626,Safe
False,0.7103360871801676,False,0.1425335814387097,True,0.1358751142711937,pass,fail,pass,True,False,False,0.038105053825271,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,0,0.1806028296602024,0.0,,True,False,0.6881167735937251,False,False,0.8006786506907186,False,0.1856230237804036,0.0080004655655906,0.7208064292645049,False,2,False,0.8533331123679432,False,0.8524004313580649,valid,0.1890107419732885,0.1618420824489773,False,True,False,False,none,0.2463562894713075,False,False,True,0.2370065502896938,0.8424182447917656,False,1,False,1,False,TLS 1.3,0,No Action,0.7426154486242482,Safe
False,0.4269184873624331,False,0.577483931143501,True,0.8057858729740981,temperror,pass,permerror,False,False,False,0.1342448079216332,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,0,0.0712071743739141,0.0,,True,True,0.3919629860568154,False,False,0.4431707095123448,False,0.7377544496701134,0.6509643846068978,0.441639861044984,False,1,False,0.5895003945924155,True,0.423877146999005,self_signed,0.6059635371704397,0.6530070593828433,False,True,False,True,link_click,0.4992739433949331,False,False,False,0.1411349507984948,0.4079000345456475,False,0,True,1,True,TLS 1.1,0,Warning,0.4274682222193203,Not-Safe
True,0.5145359693661984,True,0.5762880458418359,False,0.6670587787177847,fail,pass,fail,False,False,False,0.0119199071161868,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,0,0.0886305608537267,0.0,,True,False,0.5157435357597788,True,True,0.3505678146486601,False,0.6838931967220601,0.7476241767158011,0.4128040218937361,False,4,True,0.5667596118217825,True,0.2119654762524535,valid,0.7269180007407284,0.7503754942073012,True,False,False,True,wire_transfer,0.5487301963273346,False,False,False,0.1539371655294202,0.5565038336999854,False,4,True,2,False,TLS 1.2,0,Warning,0.4161860517741925,Not-Safe
False,0.901425700087544,False,0.0397412683985395,False,0.003320452262884,pass,pass,permerror,True,False,False,0.0698075475689447,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,0,0.0183796342801144,0.0,,False,False,0.9478519322822216,False,False,0.8356116744642104,False,0.0313382329516763,0.0134987445695936,0.8376628225328873,False,0,False,0.9407258730556062,False,0.8609199193824254,no_ssl,0.048754741420866,0.0879927679052129,False,True,False,False,none,0.0444013067276848,False,True,False,0.0408504303655931,0.3055877309631671,False,1,False,0,False,TLS 1.3,0,No Action,0.7075860025627732,Safe
True,0.4591916739285481,True,0.6258095244775501,False,0.7445291138277288,pass,neutral,neutral,False,False,False,0.1158910452273136,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,0,0.1286364738122425,0.0,,False,False,0.5039380969231292,False,True,0.4156437203965424,False,0.836901490282058,0.6255695412270035,0.3825095532955506,False,1,False,0.4713068714118722,False,0.4192455339428708,expired,0.604588227976968,0.6583984072447969,True,True,True,True,wire_transfer,0.3163485979270489,False,False,False,0.2565117636705966,0.6313891404023518,False,6,False,4,False,TLS 1.1,0,Warning,0.394457123323276,Not-Safe
False,0.6512126889692069,False,0.473972124719485,True,0.5462293353747244,fail,pass,permerror,True,False,False,0.2981718642107502,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,0,0.2939004183886586,0.0,,False,False,0.5011157185055245,False,True,0.5482669971261881,False,0.3445832833461231,0.2570039613937019,0.4746322549496568,False,5,False,0.5901841441066602,False,0.6549938466134506,valid,0.2710132850362597,0.445228595344072,False,False,False,False,meeting_request,0.6037807913952371,True,True,True,0.5339108098828979,0.5672925121949716,False,6,False,1,False,TLS 1.2,0,Spam,0.4575167420314955,Not-Safe
