sender_known_malicious,sender_domain_reputation_score,sender_spoof_detected,sender_temp_email_likelihood,dmarc_enforced,sender_name_similarity_to_vip,spf_result,dkim_result,dmarc_result,reverse_dns_valid,packer_detected,any_file_hash_malicious,max_metadata_suspicious_score,malicious_attachment_count,has_executable_attachment,unscannable_attachment_present,total_components_detected_malicious,total_yara_match_count,total_ioc_count,max_behavioral_sandbox_score,max_amsi_suspicion_score,any_macro_enabled_document,any_vbscript_javascript_detected,any_active_x_objects_detected,any_network_call_on_open,max_exfiltration_behavior_score,any_exploit_pattern_detected,total_embedded_file_count,max_suspicious_string_entropy_score,max_sandbox_execution_time,unique_parent_process_names,return_path_mismatch_with_from,return_path_known_malicious,return_path_reputation_score,reply_path_known_malicious,reply_path_diff_from_sender,reply_path_reputation_score,smtp_ip_known_malicious,smtp_ip_geo,smtp_ip_asn,smtp_ip_reputation_score,domain_known_malicious,url_count,dns_morphing_detected,domain_tech_stack_match_score,url_decoded_spoof_detected,url_reputation_score,ssl_validity_status,site_visual_similarity_to_known_brand,url_rendering_behavior_score,link_rewritten_through_redirector,token_validation_success,is_high_risk_role_targeted,urgency_keywords_present,request_type,content_spam_score,user_marked_as_spam_before,bulk_message_indicator,unsubscribe_link_present,marketing_keywords_detected,html_text_ratio,image_only_email,total_links_detected,url_shortener_detected,url_redirect_chain_length,final_url_known_malicious,tls_version,Analysis_of_the_qrcode_if_present,Final Classification,safe_confidence,Binary_Label
False,0.06218897733927545,False,0.09403719067694732,False,0.09702280666097746,fail,fail,fail,False,False,False,0.06041136332754239,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,0,0.014563180588886846,0.0,,False,False,0.5576065790098851,False,False,0.6159937950584694,False,0.33872771105062166,0.3563859542686145,0.04076669579658912,False,2,False,0.9059779056115465,False,0.8140814017714301,valid,0.09685515222072805,0.10850109661295251,False,True,False,False,none,0.0020458540303576744,False,False,True,False,0.5999724064236169,False,0,False,1,False,TLS 1.2,0,No Action,0.5170874848518936,Safe
False,0.24328891346074089,False,0.06405423862915606,False,0.05213503091869466,fail,fail,fail,True,False,False,0.028827597995581735,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,1,0.030560283382868043,0.0,,False,False,0.637992987371578,False,False,0.6393519282619727,False,0.00424350386942024,0.4263063526825408,0.21458244673060656,False,2,False,0.7127888883313205,False,0.8786866915864084,valid,0.11933546584836946,0.0016360570090996173,False,True,False,False,none,0.150846446064889,False,False,False,False,0.36210771675008957,False,5,False,1,False,TLS 1.2,0,No Action,0.5265441110917249,Safe
False,0.0681041083988391,False,0.010427807624495817,False,0.05742258711360788,fail,fail,fail,False,False,False,0.05097879964582102,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,1,0.10491475189917429,0.0,,False,False,0.5307049952404054,False,False,0.736833603930812,False,0.37442322456797517,0.13742705950626993,0.21746520942608788,False,3,False,0.7426326592119936,False,0.7279003889902155,valid,0.10771259607568849,0.07255537213659248,False,False,False,False,none,0.16948350891062744,False,False,False,False,0.5599023325247401,False,0,False,0,False,TLS 1.3,0,No Action,0.5327363745578243,Safe
False,0.01680427134663537,False,0.11969835133917228,False,0.023627431801348384,fail,fail,fail,False,False,False,0.06478467554049107,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,1,0.0499954136942147,0.0,,True,False,0.7575546686200325,False,False,0.7937483872577096,False,0.13761453823254538,0.10992051942095521,0.03528714252887716,False,2,False,0.8928242273423316,False,0.7415822032998374,valid,0.1493043221972159,0.0017097653216184838,False,True,False,False,none,0.2376750405169056,False,False,False,False,0.5150101221281242,False,5,False,0,False,TLS 1.3,0,No Action,0.5704528443498079,Safe
False,0.04620451101638107,False,0.03668907607388438,False,0.06357363813322327,fail,fail,fail,True,False,False,0.05368149436128303,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,0,0.07553835713206652,0.0,,False,False,0.6828083138891782,False,False,0.5788946921169104,False,0.13094411588764832,0.28123694113899517,0.10739073770139257,False,1,False,0.9124022714794289,False,0.724739959351131,valid,0.12715179937488086,0.06923678814216695,False,False,False,False,none,0.16292555819034982,False,False,False,False,0.47696474698661157,False,1,False,0,False,TLS 1.3,0,No Action,0.5006179909924857,Safe
False,0.18939186611459172,False,0.08884443003224433,False,0.013770560306597015,fail,fail,fail,True,False,False,0.027845230500006403,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,1,0.02340909483889559,0.0,,False,False,0.7147384686873993,False,False,0.5865524759742855,False,0.07574886627808425,0.11632496349728988,0.05040363282865673,False,0,False,0.8426209299158431,False,0.7517876075773328,valid,0.10859712720233201,0.018863197869430547,False,True,True,False,meeting_request,0.08717838580514442,False,False,False,False,0.3204757158538115,False,2,False,1,False,TLS 1.2,0,No Action,0.5338947920085638,Safe
False,0.06027189592686649,False,0.0570492817729673,False,0.045949926775758716,fail,fail,fail,False,False,False,0.03726194057708756,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,0,0.0478493159238154,0.0,,False,False,0.6578400920485508,False,True,0.8496673430567546,False,0.49975198145699035,0.1688536148378293,0.038483342873216586,False,3,False,0.8435402023436575,False,0.7204685486711978,valid,0.026561259761523102,0.022806927036551,False,True,False,False,none,0.11353173324067625,False,False,False,True,0.6095794306766945,False,2,False,0,False,TLS 1.3,0,No Action,0.5490225233552971,Safe
False,0.051273280086433115,False,0.04639905927074955,False,0.0240193224408902,fail,fail,fail,True,False,False,0.07496940908118259,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,0,0.014112371531303446,0.0,,False,False,0.8288724655127855,False,True,0.6261104758488609,False,0.3971938151511549,0.47126525372578776,0.00034501731715047557,False,2,False,0.784464039946354,False,0.8266963923883888,valid,0.06597878929930914,0.08235387678996774,False,True,False,False,none,0.10410469543840581,False,False,False,False,0.5141520830873292,False,3,False,1,False,TLS 1.3,0,No Action,0.5393323968516008,Safe
False,0.06638499519051413,False,0.08265061480831098,False,0.01999706459940917,fail,fail,fail,False,False,False,0.06605643766590018,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,1,0.05345668458179568,0.0,,False,False,0.669542870623645,False,False,0.6129160034113019,False,0.39480956450840493,0.395144894465892,0.15666669269160072,False,3,False,0.977098615092198,False,0.9362533921076945,valid,0.08490740935052644,0.10163517121109425,False,True,False,False,none,0.24137719463196067,False,True,False,False,0.296175611072306,False,3,False,1,False,TLS 1.3,0,No Action,0.5420353228674236,Safe
False,0.03227322379156636,False,0.04635992278372063,False,0.014308376406428248,fail,fail,fail,True,False,False,0.051591655519492935,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,1,0.01154931635185274,0.0,,False,False,0.6724133498770104,False,False,0.6340994617392743,False,0.026642773668697384,0.4567374509232083,0.19244083638813092,False,2,False,0.8799040932623898,False,0.8464284940015101,no_ssl,0.08416737446888116,0.12628823294628802,False,True,False,False,none,0.14637387995120305,False,False,False,False,0.23622100632356316,False,1,False,1,False,TLS 1.3,0,No Action,0.5276980736853883,Safe
False,0.03256680630676348,False,0.08667436994642827,False,0.040556206199620186,fail,fail,fail,False,False,False,0.01620045702511379,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,0,0.03764087170658508,0.0,,True,False,0.75847298612365,False,False,0.6563327067886129,False,0.3456394177999205,0.20703006130482116,0.24016158382646957,False,0,False,0.7139476227429311,False,0.9252576285059261,valid,0.016932683173490858,0.015249484662316475,False,True,False,False,none,0.0014893763653839875,False,False,False,False,0.32118646602963563,False,4,False,1,False,TLS 1.3,0,No Action,0.566330663009536,Safe
False,0.13962529551549,False,0.0381291528463708,False,0.017330003194773402,fail,fail,fail,False,False,False,0.09955805142472296,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,0,0.08644181872321388,0.0,,False,False,0.7728622577519046,False,False,0.5004303813874189,False,0.46254477176714254,0.44336444227596633,0.17070322278909172,False,4,False,0.7279046020419168,False,0.9800570552116158,valid,0.08515436853707212,0.0428065770517975,False,True,False,False,none,0.11343777631688967,False,False,False,True,0.380421914554639,False,1,False,1,False,TLS 1.2,0,No Action,0.5300462007093965,Safe
