sender_known_malicious,sender_domain_reputation_score,sender_spoof_detected,sender_temp_email_likelihood,dmarc_enforced,sender_name_similarity_to_vip,spf_result,dkim_result,dmarc_result,reverse_dns_valid,packer_detected,any_file_hash_malicious,max_metadata_suspicious_score,malicious_attachment_count,has_executable_attachment,unscannable_attachment_present,total_components_detected_malicious,total_yara_match_count,total_ioc_count,max_behavioral_sandbox_score,max_amsi_suspicion_score,any_macro_enabled_document,any_vbscript_javascript_detected,any_active_x_objects_detected,any_network_call_on_open,max_exfiltration_behavior_score,any_exploit_pattern_detected,total_embedded_file_count,max_suspicious_string_entropy_score,max_sandbox_execution_time,unique_parent_process_names,return_path_mismatch_with_from,return_path_known_malicious,return_path_reputation_score,reply_path_known_malicious,reply_path_diff_from_sender,reply_path_reputation_score,smtp_ip_known_malicious,smtp_ip_geo,smtp_ip_asn,smtp_ip_reputation_score,domain_known_malicious,url_count,dns_morphing_detected,domain_tech_stack_match_score,url_decoded_spoof_detected,url_reputation_score,ssl_validity_status,site_visual_similarity_to_known_brand,url_rendering_behavior_score,link_rewritten_through_redirector,token_validation_success,is_high_risk_role_targeted,urgency_keywords_present,request_type,content_spam_score,user_marked_as_spam_before,bulk_message_indicator,unsubscribe_link_present,marketing_keywords_detected,html_text_ratio,image_only_email,total_links_detected,url_shortener_detected,url_redirect_chain_length,final_url_known_malicious,tls_version,Analysis_of_the_qrcode_if_present,Final Classification,safe_confidence,Binary_Label
False,0.1123620356542087,False,0.0897987726295554,True,0.0311989040672405,pass,neutral,pass,True,False,False,0.0030876741443703,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,1,0.1443997544533649,0.0,,False,False,0.5503115063364058,False,False,0.7969926038510866,False,0.4893225283906247,0.0056530441757739,0.2852142919229748,False,0,False,0.7873687420594125,False,0.8447411578889518,valid,0.0730361621338045,0.0915904608234229,False,True,False,False,none,0.2073450991017148,False,True,False,True,0.0552938540374875,False,3,False,1,False,TLS 1.3,0,No Action,0.6109227538346742,Safe
False,0.0293016342019151,False,0.0183057352267168,True,0.0068777042230436,neutral,pass,pass,True,False,False,0.0780102031766716,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,1,0.1135400655639983,0.0,,True,False,0.8869139098379994,False,False,0.7080600944007258,False,0.7413270926350354,0.5818175966851368,0.205269907953647,False,6,False,0.7265477506155759,False,0.6783931449676581,valid,0.081332582690816,0.0971693224223705,False,False,False,False,none,0.1899436291053869,False,True,False,True,0.8388538961104397,False,7,False,1,False,TLS 1.2,0,No Action,0.7130922856909668,Safe
False,0.2120572031542851,False,0.0111066977601135,True,0.0231738119050259,neutral,pass,pass,True,False,False,0.0466473482573493,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,1,0.1331844713234993,0.0,,False,False,0.6598887171960257,False,False,0.703170749901516,False,0.7773696763112831,0.6791310594128671,0.2187021504122961,False,4,False,0.8683831592708489,False,0.9083868719818244,valid,0.1306832073454985,0.1068852545896374,True,True,True,False,none,0.1100245933767143,False,False,False,True,0.3488254845802853,False,3,False,0,False,TLS 1.2,0,No Action,0.5822442574508009,Safe
False,0.2789092957027719,False,0.1307190885281576,False,0.0373140117772071,neutral,pass,neutral,False,False,False,0.0477005212457795,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,0,0.054426449876927,0.0,,False,False,0.5502081507981263,False,False,0.6719125032632116,False,0.1317246825143534,0.4272715355003535,0.242436113869325,False,5,False,0.7666323431412191,False,0.6479461469334731,valid,0.2357274259781298,0.0808007330051888,False,True,False,False,link_click,0.3368565532297389,False,False,False,False,0.2421144202208474,False,0,False,1,False,TLS 1.3,0,No Action,0.5602957502499979,Safe
False,0.0835939392709834,False,0.0217342308136834,True,0.1971300908221201,pass,pass,pass,True,False,False,0.1092324522917789,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,1,0.0940601268892076,0.0,,False,False,0.7095297769778213,False,False,0.8693380499938204,False,0.1205740351723435,0.4065590213925749,0.2724797657899961,False,7,False,0.7122325424664291,False,0.8363571772752967,valid,0.004146957231964,0.1280232645748202,False,True,False,False,none,0.1353573712051881,False,False,True,False,0.0964524930545007,False,6,False,1,False,TLS 1.2,0,No Action,0.6819968092068358,Safe
False,0.2451666600603647,False,0.0362778436350677,True,0.1794431515906653,neutral,pass,pass,True,False,False,0.1088933518305359,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,0,0.1712648583756185,0.0,,False,False,0.905108039504384,False,False,0.924253997688379,False,0.6282725208911549,0.5351906037713829,0.1665602434798387,False,5,False,0.7027591154849888,False,0.6405886171464128,valid,0.0012653959615546,0.0402020128543746,False,True,False,False,none,0.2492627274716375,False,False,False,False,0.5521879641901325,False,6,False,1,False,TLS 1.3,0,No Action,0.5687349535656185,Safe
False,0.11031474091783,False,0.1459515832128668,True,0.1784093110354226,pass,pass,pass,True,False,False,0.0738776540728295,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,0,0.046037053648311,0.0,,False,False,0.7788016796836732,False,False,0.5674415087017736,False,0.7956404086378729,0.3759556111927544,0.0795607103045176,False,5,False,0.9744593170661344,False,0.7480634801021777,valid,0.2320796406469313,0.1070460370793285,False,False,False,False,none,0.1347842050106738,False,False,False,True,0.4732810730895976,False,5,False,1,False,TLS 1.2,0,No Action,0.5917837435230721,Safe
False,0.2013430550472151,False,0.0442935882628408,True,0.1697339589849349,pass,pass,pass,True,False,False,0.0629671284669414,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,1,0.1734144637160207,0.0,,False,False,0.7545369595443752,False,False,0.86931807158671,False,0.5199711446222122,0.5615735018061627,0.1075940343888491,False,7,False,0.715230559311819,False,0.954646859580264,valid,0.1447162238768896,0.1096185307545217,False,True,False,False,link_click,0.2936267257242771,False,False,True,True,0.2577756874722394,False,4,False,0,False,TLS 1.2,0,No Action,0.743050366078154,Safe
False,0.1371795484841185,False,0.0617030857585017,True,0.0276706184835602,pass,fail,pass,True,False,False,0.0598231352167191,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,0,0.0877942841411272,0.0,,True,False,0.5601402973661831,False,False,0.8843920482048824,False,0.5567793648749584,0.3271623555314159,0.2526069225035944,False,1,False,0.974564118287944,False,0.7769408918924418,valid,0.0234683225203229,0.0457164992768268,False,True,False,False,none,0.1524855145372618,False,False,True,False,0.1348494804961173,False,5,True,1,False,TLS 1.2,0,No Action,0.568831397653712,Safe
False,0.0934239928173882,False,0.0025741652747625,False,0.1613825954101559,pass,pass,pass,True,False,False,0.1423718597387079,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,1,0.0090608019544089,0.0,,False,False,0.8003439662856946,False,False,0.8925959364753289,False,0.526954905295156,0.1303475416651437,0.2938531585864525,False,7,False,0.9831674813682272,False,0.977700638850067,no_ssl,0.1591008993615028,0.2002373236705999,False,True,False,False,none,0.2872238165103843,False,False,False,False,0.1756817058952335,False,1,True,1,False,TLS 1.3,0,No Action,0.5642377296920459,Safe
False,0.0956926890881283,True,0.1221702723883403,True,0.0236329655243312,pass,pass,fail,True,False,False,0.1205221395577272,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,0,0.1095943766496174,0.0,,False,False,0.7774081134999833,False,False,0.8426591021198561,False,0.1021517835379724,0.2000131593728837,0.2534625932908363,False,7,False,0.8022410620759053,False,0.972302930241426,no_ssl,0.1072485068437545,0.1877177669478743,False,True,False,False,none,0.2892601131377095,False,False,False,False,0.0092120037582536,False,8,False,0,False,TLS 1.2,0,No Action,0.740012393410161,Safe
False,0.2851821440812668,False,0.0672668282967479,True,0.0657329090739832,pass,pass,pass,True,False,False,0.0136809154573035,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,1,0.194849641706882,0.0,,False,False,0.57234846187094,False,False,0.7683663080659956,False,0.5646651871029557,0.7749215551793079,0.1720313664369858,False,0,False,0.9284531895152416,False,0.8472872253265045,valid,0.0210267015287493,0.17524228286478,True,False,False,False,none,0.0296931999298171,False,False,False,False,0.6908796321688772,False,6,False,1,False,TLS 1.2,0,No Action,0.69163623911664,Safe
False,0.1445000963892345,False,0.0373086231645431,True,0.0868903688976542,pass,pass,pass,True,False,False,0.1150792279662857,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,0,0.1298420604232127,0.0,,False,False,0.7833475060388638,False,False,0.6999482318094816,False,0.2285696690254886,0.6948793025515683,0.1133962770366763,False,5,False,0.8309007494819668,False,0.9208436996106936,self_signed,0.1390012596606461,0.0806715970693959,True,False,False,False,none,0.2433938930873266,False,True,True,True,0.2503198548135154,False,0,False,1,False,TLS 1.2,0,No Action,0.6974201411686038,Safe
False,0.2745763025007319,False,0.0591782697912194,True,0.0671320129593926,pass,pass,pass,True,False,False,0.0398906887446358,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,0,0.1948789615332333,0.0,,False,False,0.829264685607898,False,False,0.673811046514531,False,0.651036015765559,0.5477849380431035,0.2876107222223538,False,4,False,0.7399555375671248,False,0.6304801518396652,no_ssl,0.1041597644346198,0.1452906552952065,False,True,False,False,none,0.0576919913979503,False,False,False,False,0.8374931430656787,False,4,False,0,False,TLS 1.3,0,No Action,0.7184237846271417,Safe
False,0.2514986114133413,False,0.0410110607896059,True,0.1729444752510106,pass,none,permerror,True,False,False,0.1153481122770765,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,0,0.1514162404084912,0.0,,False,False,0.6464339329318528,False,False,0.6505769758047194,False,0.219785437620727,0.1657821192064451,0.140607947938491,False,0,False,0.901510205321757,False,0.8472512961831583,valid,0.0283893980499072,0.1678932988981999,False,True,False,False,meeting_request,0.1931673935710699,False,False,False,False,0.1139129441830446,False,6,False,0,False,TLS 1.3,0,No Action,0.7110089335038724,Safe
False,0.2709453176029878,False,0.0912131774312827,True,0.1109631217084451,pass,pass,pass,True,False,False,0.1365706917604909,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,1,0.1244173400455747,0.0,,False,False,0.9298082494630568,False,True,0.9206350500645976,False,0.3936930344636306,0.2065955106391667,0.1851791136291876,False,7,False,0.7137583799213898,False,0.8483222737688365,valid,0.0522826977696285,0.1449124836179346,False,True,False,False,none,0.1401051711185984,False,False,True,False,0.3499120322038989,False,2,False,1,False,TLS 1.2,0,No Action,0.5884578037617342,Safe
False,0.0122605848799436,False,0.026551572641512,True,0.0241271742201201,pass,pass,pass,True,False,False,0.1035592242944048,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,0,0.0184581172457492,0.0,,False,False,0.8251138868384331,False,False,0.6127910730864775,False,0.3018287721936581,0.0020760195069172,0.0506805189216493,False,3,False,0.9418603839379184,False,0.8993038761534633,valid,0.0523373308341775,0.0926180256978455,False,True,False,False,none,0.2616148283468147,False,True,True,False,0.7609258120341195,False,1,False,0,False,TLS 1.2,0,No Action,0.5709738333064962,Safe
False,0.2212215618281457,False,0.1261064978816896,True,0.1070671128031047,pass,pass,pass,True,False,False,0.0973234260437364,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,1,0.0173840576174847,0.0,,False,False,0.7847364472083517,False,False,0.7226638184918718,False,0.102064242236451,0.2270207246389796,0.0546851635427874,False,5,False,0.9698942191435036,False,0.8430220889174291,valid,0.124561924462235,0.0825871203202285,False,True,False,False,none,0.1707334302830582,False,False,True,False,0.047305465953429,False,8,False,0,False,TLS 1.2,0,No Action,0.6893922924732843,Safe
False,0.2991766604305182,False,0.1376093419628297,True,0.1950134325890285,pass,pass,neutral,True,False,False,0.0802555098067365,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,1,0.0559958187320568,0.0,,False,False,0.6248174994230093,False,False,0.7201745754465667,False,0.406088302947564,0.1939277859320642,0.2689830788922062,False,6,False,0.9121690286933332,False,0.9071118005771356,valid,0.1265259890898367,0.2330035855642335,False,True,False,False,none,0.1920110912783536,False,False,True,False,0.0746878945562582,False,4,True,0,False,TLS 1.3,0,No Action,0.6443152377100317,Safe
False,0.1235522742441805,False,0.1245929111681593,False,0.0248594446971089,pass,fail,pass,True,False,False,0.1111680973935088,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,1,0.0096189287928175,0.0,,False,False,0.8811763548709968,False,False,0.8698148523678062,False,0.6601061413542378,0.1491239894305152,0.1046604799628985,False,2,False,0.89955916620886,False,0.8092261699076477,valid,0.219300135203277,0.0981112768556588,False,True,False,False,none,0.1054822559574497,False,False,False,True,0.7646383872833832,False,6,False,0,False,TLS 1.3,0,No Action,0.6748475991827985,Safe
False,0.0350694122125092,False,0.0502358421985629,True,0.1588050378540592,pass,pass,none,True,False,False,0.0227512319599126,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,0,0.1413960922486918,0.0,,False,False,0.6072511942193879,False,False,0.8356256328894456,False,0.3951851897046901,0.6037082334880933,0.2819496370840425,False,5,False,0.9463771914016038,False,0.6442526947820829,valid,0.0318721655829956,0.0993218226400918,False,True,False,False,none,0.252012787791126,False,False,False,False,0.2140292000709098,False,4,False,1,False,TLS 1.3,0,No Action,0.6666783589532241,Safe
False,0.1202554250290919,False,0.023002710467412,True,0.1011777357768932,pass,pass,fail,False,False,False,0.0847699775383813,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,1,0.1580169274248173,0.0,,True,False,0.8105468843952984,False,False,0.6997741478881688,False,0.055137231493775,0.0618568523910298,0.1386017410932398,False,5,False,0.9803101044307044,False,0.9702274051627106,valid,0.0283095114601888,0.2462102997405836,False,True,False,False,meeting_request,0.1815933199941252,False,False,False,True,0.2849176553990157,False,3,False,1,False,TLS 1.2,0,No Action,0.6296337387181887,Safe
False,0.1612186808813768,False,0.0520429802844341,False,0.0904435881779614,pass,pass,pass,True,False,False,0.0747551659109219,0,False,False,0,0,0,0.0,0.0,False,False,False,False,0.0,False,1,0.0067758320493189,0.0,,False,False,0.862198283018435,False,False,0.6380388856324388,False,0.170144627472981,0.4121389459254501,0.2759566849238281,False,0,False,0.9883210952408366,False,0.6594650911012452,valid,0.0213374170196609,0.2492185629614868,False,True,True,False,none,0.073466957583455,False,False,True,True,0.0310672176708806,False,7,False,0,False,TLS 1.3,0,No Action,0.6406577669496055,Safe
