email_id,spf_result,dmarc_result,user_marked_as_spam_before,image_only_email,url_count,url_reputation_score,total_links_detected,sender_domain_reputation_score,smtp_ip_reputation_score,return_path_reputation_score,content_spam_score,marketing_keywords_detected,bulk_message_indicator,unsubscribe_link_present,html_text_ratio,result
test-s1-00016,neutral,fail,0,False,3,0.15,3,0.88,0.5,0.88,0.8214,0.2608024691358024,0,0,1.0,Spam
test-s1-00017,neutral,pass,0,False,1,0.63,1,0.0,0.38,0.0,0.9253,0.5644444444444445,0,0,1.0,Spam
test-s1-00019,none,pass,0,False,0,1.0,0,1.0,0.55,1.0,0.9738,0.2350515463917525,0,0,1.0,Not-Spam
test-s1-00021,fail,none,0,False,3,0.65,3,0.0,0.38,0.08,0.6676,0.490566037735849,0,0,1.0,Spam
test-s1-00022,fail,pass,0,False,0,1.0,0,0.0,0.28,0.0,0.8527,0.2885245901639344,0,0,1.0,Spam
test-s1-00025,neutral,fail,0,False,0,1.0,0,0.0,0.38,1.0,0.8142,0.390357698289269,0,0,1.0,Not-Spam
test-s1-00026,neutral,fail,0,False,1,0.56,1,0.9,0.28,0.9,0.2283,0.2731356693620844,0,0,1.0,Not-Spam
test-s1-00031,none,fail,0,False,2,0.15,2,0.0,0.38,0.88,0.7553,0.6509433962264151,0,0,1.0,Not-Spam
test-s1-00042,none,fail,0,False,1,0.78,1,0.0,0.38,0.9,0.7474,0.307475317348378,0,0,1.0,Not-Spam
test-s1-00043,neutral,none,0,False,0,1.0,0,0.0,0.5,1.0,0.9325,0.9081081081081082,0,0,1.0,Spam
test-s1-00052,none,none,0,False,3,0.35,3,0.0,0.5,0.0,0.1955,0.1834862385321101,0,0,1.0,Not-Spam
test-s1-00055,neutral,none,0,False,2,0.63,2,0.0,0.38,0.0,0.9405,0.6336633663366337,0,1,1.0,Spam
test-s1-00062,neutral,none,0,False,0,1.0,0,0.0,0.5,1.0,0.9065,0.213768115942029,0,0,1.0,Spam
test-s1-00064,pass,pass,0,False,0,1.0,0,0.0,0.55,0.0,0.7736,0.2428571428571428,0,0,1.0,Spam
