spf_result,dmarc_result,user_marked_as_spam_before,image_only_email,url_count,url_reputation_score,total_links_detected,sender_domain_reputation_score,smtp_ip_reputation_score,return_path_reputation_score,content_spam_score,marketing-keywords_detected,bulk_message_indicator,unsubscribe_link_present,html_text_ratio,Binary_Label
fail,fail,0,0,1,0.6784089444663787,1,0.4454215316440101,0.5338136130027239,0.7027001817064069,0.3129970535167191,0.3119264674958666,0,0,0.4723484889066668,Not-Spam
pass,pass,0,1,7,0.8198927542791307,7,0.8878277351744186,0.8000655015945037,0.3924925396305361,0.6834016786763678,0.5472042616608492,0,1,0.5672333794348619,Spam
permerror,permerror,0,0,1,0.825021820350443,1,0.7628428643826086,0.824443885686658,0.8364323245449917,0.0491867668806354,0.1460797999474164,1,0,0.3246480302370905,Not-Spam
pass,pass,1,1,1,0.6940948462016625,1,0.8326976399711965,0.2930038080785868,0.6421675821535353,0.7857619544081189,0.3677433095607351,0,0,0.502958620281396,Spam
pass,temperror,0,0,1,0.4658442456073641,1,0.3427582376944216,0.3114334087781858,0.4007427931425041,0.7705885717685418,0.3858557335999539,0,0,0.5429632298337923,Spam
none,none,0,0,5,0.6606266830026503,4,0.1149170371980211,0.3647012035812896,0.656075949618176,0.2385919913317502,0.2830655653969536,0,0,0.4111529483911047,Not-Spam
pass,pass,1,1,4,0.3321465756023833,4,0.6538024402028716,0.719639561485369,0.414927705946895,0.6139236414956295,0.6351991809286364,1,1,0.7041180354469357,Spam
pass,pass,0,0,2,0.9451864365702576,1,0.7464590550920067,0.8654166501123469,0.6771620402407573,0.4353388333904459,0.0264336018355179,0,0,0.8434646397777346,Not-Spam
softfail,none,0,0,3,0.559122697835017,2,0.3397629782508016,0.1175980341594644,0.4454524933703803,0.785086787100456,0.3311816041499145,0,1,0.791494647657374,Spam
pass,pass,0,0,4,0.308189207904122,0,0.3145575368631079,0.3944303966968795,0.585666447220603,0.5568959933131962,0.5956394721835601,0,1,0.8169952550811698,Spam
permerror,permerror,0,0,1,0.5436692166550483,1,0.7983305740275476,0.8947778703556821,0.62745482055759,0.0909618812827984,0.0248101821481976,0,0,0.1665796514514213,Not-Spam
pass,pass,0,1,5,0.8713599370982958,5,0.7160110890639597,0.7634466936034112,0.3576263344096131,0.87513273441218,0.4739668975199166,1,0,0.9283075320470228,Spam
pass,pass,0,0,1,0.7976915434798683,1,0.8347121015873452,0.793121825888311,1.0,0.2595528250175021,0.0432746662938491,0,0,0.7988404793226203,Not-Spam
pass,pass,0,0,4,0.5239832310395162,3,0.3875179122565569,0.6610925084262591,0.951549577765692,0.2249926520188408,0.1302701704661774,0,0,0.5996390357552064,Not-Spam
pass,pass,0,0,4,0.1971142750536877,4,0.6830028586035991,0.5508613545291576,0.6705784446450185,0.5851742818555639,0.2870541266424127,0,0,0.4662330321372497,Not-Spam
pass,pass,0,0,5,0.8556482743325845,5,0.7285283992889457,0.6680175314812463,0.8399281785934465,0.2033600732680554,0.1884493587917548,0,0,0.3491223633433008,Not-Spam
pass,pass,0,0,1,0.936456128753585,0,0.8304936065912347,0.9929619339744704,0.7902965555003617,0.1467603032460715,0.168091934571124,0,0,0.0,Not-Spam
neutral,fail,1,0,4,0.882145627158649,3,0.3428676779517023,0.459840009587013,0.7832243709353716,0.5448210636209485,0.3420001398666324,0,0,0.3166884311902297,Spam
pass,fail,1,0,4,0.5635992689692486,1,0.3930798440826886,0.4313274570127661,0.2646200429135185,0.6240948870042876,0.5163882405016323,0,0,0.8510271062081859,Spam
temperror,softfail,0,0,3,0.8125067627461658,3,0.7645013714477519,0.925390872355474,0.8644876465809082,0.270092058124149,0.0856948441827618,1,0,0.2891857917947223,Not-Spam
fail,fail,0,0,3,1.0,3,0.816995167952652,0.5492104744765609,0.3719769163474598,0.6549230495543769,0.3690335789694254,0,1,0.8439853154975234,Spam
pass,pass,1,0,6,0.9163752186997975,5,0.8467223149713036,0.648994124032195,0.1227677314459241,0.5548466724272337,0.8048984035638297,1,1,0.9197768855984592,Spam
pass,pass,1,0,14,0.3107113773089545,15,0.2181159379884997,0.3244588391467106,0.565097722168161,0.5439976835977278,0.5985188693840062,1,1,0.7461732777011545,Spam
pass,none,1,0,11,0.547308136781902,13,0.4528465075041564,0.4908490497598627,0.0678618211951271,0.4745023057966264,0.7598793849300847,1,1,0.4088041537603352,Spam
pass,pass,0,0,1,0.7451484710317494,0,0.953621586126983,0.911724444404397,0.7858275173613699,0.2945231332640075,0.027658780272904,0,0,0.426968525529377,Not-Spam
pass,pass,1,0,4,0.4472460997623971,3,0.525429939707987,0.7751752342377978,0.7824138861618559,0.6685717207533357,0.5201303533722216,1,1,0.8193535159958131,Spam
pass,pass,0,0,1,0.8757159014506524,0,0.7044425137695711,0.7571871851412941,0.9395855256849052,0.3257255549490886,0.0585741696438818,0,0,0.5176358524447365,Not-Spam
pass,pass,0,0,1,0.8895393011812204,1,0.8438131356582685,0.8301399376406831,0.8314054656655767,0.306749019435133,0.1536290196571865,0,0,0.4964015253286815,Not-Spam
pass,pass,0,0,1,0.8907779396923197,1,0.6265067533533796,0.6087901951733448,0.8711060027967996,0.062772319395176,0.038478316942738,0,0,0.1727895496807926,Not-Spam
