any_file_hash_malicious,max_behavioral_sandbox_score,malicious_attachment_count,any_exploit_pattern_detected,max_amsi_suspicion_score,total_yara_match_count,total_ioc_count,packer_detected,any_macro_enabled_document,any_vbscript_javascript_detected,any_active_x_objects_detected,any_network_call_on_open,max_exfiltration_behavior_score,has_executable_attachment,unscannable_attachment_present,sender_known_malicious,smtp_ip_known_malicious,return_path_known_malicious,final_url_known_malicious,total_components_detected_malicious,Binary_Label
0,0.8366696421541654,1,1,0.8222986749958269,3,10,0,0,0,0,0,0.8153072729910124,0,0,0,1,0,0,1,Malicious
0,0.8047733548610738,1,0,0.6371331055361035,1,4,1,0,0,0,1,0.0,1,0,1,0,0,1,1,Malicious
0,0.0384621832616681,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Not-Malicious
0,0.0044194598302174,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Not-Malicious
0,0.0415929302467,0,0,0.035417936844635,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Not-Malicious
0,0.0156349960754396,0,0,0.0035986538404863,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Not-Malicious
1,0.7748154696579386,1,0,0.7129926591277803,3,5,0,0,0,0,1,0.0,1,0,0,0,0,0,1,Malicious
0,0.088514307725783,0,0,0.0099359875498922,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Not-Malicious
1,0.88295303141306,2,0,0.6628335236991401,3,1,1,0,0,0,0,0.0,1,0,0,0,0,0,2,Malicious
0,0.828603599322361,2,0,0.8025404801695405,0,4,0,0,0,0,0,0.0,1,0,1,1,0,0,2,Malicious
1,0.8605454648114819,1,1,0.898646083554614,6,7,1,0,0,0,0,0.643951571799,0,0,0,1,0,0,1,Malicious
1,0.7671491444501589,2,0,0.938124143846722,1,2,0,0,0,0,0,0.0,1,0,0,0,0,0,2,Malicious
0,0.2163118208745953,0,0,0.4056947302311378,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,Malicious
0,0.0479755073493185,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Not-Malicious
0,0.909523209989366,1,1,0.850145885955672,7,5,1,0,0,1,0,0.6115837725230086,0,0,1,1,0,0,1,Malicious
1,0.7739314716259103,1,1,0.8618032637530342,4,5,0,0,0,0,0,0.4163159307261403,0,0,0,1,0,0,1,Malicious
1,0.707778694230604,1,0,0.7889135112313966,1,3,0,1,0,0,0,0.0,0,0,1,0,0,0,1,Malicious
1,0.7720846912121863,1,0,0.7646462542237064,5,2,0,0,0,0,1,0.0,1,0,0,0,0,1,1,Malicious
0,0.7161508583558067,2,0,0.6434463307286543,1,5,0,0,0,0,0,0.0,1,0,0,0,0,0,2,Malicious
0,0.0062968722835388,0,0,0.0024244470856585,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Not-Malicious
0,0.0922124793674077,0,0,0.0441485982769126,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Not-Malicious
0,0.0322845010716868,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Not-Malicious
0,0.0038567013531226,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Not-Malicious
1,0.6044378023076982,1,0,0.5772468649924641,1,0,0,1,1,0,0,0.0,0,0,0,1,0,0,1,Malicious
0,0.0500400151598013,0,0,0.0011308899551362,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Not-Malicious
0,0.0455086660477615,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Not-Malicious
0,0.0710158626499896,0,0,0.0302289649992173,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Not-Malicious
0,0.0368835820211074,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Not-Malicious
0,0.0193801388778765,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Not-Malicious
0,0.8946318541138666,2,0,0.7380764572195129,1,5,1,0,0,0,1,0.0,1,0,1,0,0,0,2,Malicious
1,0.8822728478344231,1,1,0.895211183214148,4,14,0,0,0,0,0,0.7577643618768051,0,0,1,1,0,1,1,Malicious
0,0.0229222478762159,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Not-Malicious
0,0.7701754713065283,2,0,0.719482465440029,4,4,0,0,0,0,0,0.0,1,0,0,1,0,0,2,Malicious
0,0.0147256791026153,0,0,0.0305235509047664,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Not-Malicious
0,0.0334736907350922,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Not-Malicious
0,0.032611302838189,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Not-Malicious
1,0.7549194890094859,1,0,0.9458748314354912,1,1,0,0,0,0,1,0.0,1,0,0,0,0,1,1,Malicious
