sender_known_malicious,sender_domain_reputation_score,sender_spoof_detected,sender_temp_email_likelihood,dmarc_enforced,sender_name_similarity_to_vip,spf_result,dkim_result,dmarc_result,reverse_dns_valid,packer_detected,any_file_hash_malicious,max_metadata_suspicious_score,malicious_attachment_count,has_executable_attachment,unscannable_attachment_present,total_components_detected_malicious,total_yara_match_count,total_ioc_count,max_behavioral_sandbox_score,max_amsi_suspicion_score,any_macro_enabled_document,any_vbscript_javascript_detected,any_active_x_objects_detected,any_network_call_on_open,max_exfiltration_behavior_score,any_exploit_pattern_detected,total_embedded_file_count,max_suspicious_string_entropy_score,max_sandbox_execution_time,unique_parent_process_names,return_path_mismatch_with_from,return_path_known_malicious,return_path_reputation_score,reply_path_known_malicious,reply_path_diff_from_sender,reply_path_reputation_score,smtp_ip_known_malicious,smtp_ip_geo,smtp_ip_asn,smtp_ip_reputation_score,domain_known_malicious,url_count,dns_morphing_detected,domain_tech_stack_match_score,url_decoded_spoof_detected,url_reputation_score,ssl_validity_status,site_visual_similarity_to_known_brand,url_rendering_behavior_score,link_rewritten_through_redirector,token_validation_success,is_high_risk_role_targeted,urgency_keywords_present,request_type,content_spam_score,user_marked_as_spam_before,bulk_message_indicator,unsubscribe_link_present,marketing_keywords_detected,html_text_ratio,image_only_email,total_links_detected,url_shortener_detected,url_redirect_chain_length,final_url_known_malicious,tls_version,Analysis_of_the_qrcode_if_present,Final Classification,warning_risk,Binary_Label
False,0.7261560033,False,0.021540047,False,0.0076307332,pass,pass,neutral,True,False,False,0.0367745029,0,False,False,0,0,0,0.0448321708,0.0452699326,False,False,False,True,0.0455575274,False,0,0.1256756466,0.0384397374,,False,False,0.7620587412,False,False,0.9428015574,False,0.0796476303,0.1153918635,0.8538256402,False,4,False,0.9670295712,False,0.9005410666,valid,0.0063682613,0.1508346344,True,True,False,False,link_click,0.0842290382,False,True,False,0.1146337029,0.4680530497,False,1,False,0,False,TLS 1.2,0,No Action,0.2170990053,Not-Warning
False,0.8916402518,False,0.1928118345,True,0.0466746368,pass,pass,permerror,True,False,False,0.0202091401,0,False,False,0,0,0,0.0108620834,0.0031304387,False,False,False,True,0.0267900509,False,0,0.0606310901,0.0492674087,,False,False,0.9252444824,False,False,0.8917383812,False,0.1767760276,0.0628556729,0.9153153722,False,2,False,0.7235129434,False,0.717147764,valid,0.1075072755,0.0292278467,False,False,False,False,link_click,0.2437323916,False,False,False,0.0772492326,0.3310278823,False,6,False,1,False,,0,No Action,0.0911417337,Not-Warning
False,0.7084774103,False,0.1742789336,True,0.0274742996,pass,pass,pass,False,False,False,0.075945223,0,False,False,0,0,0,0.0199499345,0.0497632507,False,False,False,False,0.0158514101,False,0,0.1394061482,0.0404509715,,False,False,0.8451877113,False,False,0.7770555214,False,0.1155888347,0.0729179937,0.8187439946,False,3,False,0.8904348262,False,0.9371578088,valid,0.0988948842,0.1391564348,True,True,False,False,document_download,0.1051904174,False,False,False,0.1507427919,0.7102390632,False,13,True,0,False,TLS 1.3,0,No Action,0.1677091406,Not-Warning
False,0.9765048533,False,0.0530832134,False,0.0644468025,temperror,pass,pass,True,False,False,0.0487042702,0,False,False,0,0,0,0.0500995812,0.0452731598,False,False,False,True,0.033010233,False,0,0.0064140105,0.0499067115,,True,False,0.9674597888,False,False,0.8390218962,False,0.1775046819,0.1161446168,0.7866130725,False,11,False,0.8159502623,False,0.7187906933,valid,0.033604075,0.083211342,False,True,False,False,link_click,0.1311930496,False,False,False,0.0605505608,0.7328366215,False,3,False,0,False,TLS 1.2,0,No Action,0.2822671404,Not-Warning
False,0.981817677,False,0.158303558,True,0.1140015281,softfail,pass,pass,True,False,False,0.0361967291,0,False,False,0,0,0,0.0546927631,0.002092085,False,False,False,False,0.0145691585,False,0,0.1006424777,0.0410898396,,False,False,0.808459844,False,False,0.7666149061,False,0.0869206419,0.0840728203,0.8170260468,False,3,False,0.7417667966,False,0.9737882266,valid,0.0920208781,0.1724301731,False,True,False,False,link_click,0.2341544163,False,False,False,0.118564635,0.4624321183,False,6,False,0,False,TLS 1.3,0,No Action,0.0015945893,Not-Warning
False,0.7258919835,True,0.0292818371,True,0.1873920071,pass,pass,pass,True,False,False,0.0538399373,0,False,False,0,0,0,0.0089403068,0.0004770735,False,False,False,False,0.0028977568,False,1,0.0432101964,0.0062557208,,False,False,0.8814080772,False,False,0.9559406479,False,0.0841744065,0.1476667705,0.8103234597,False,6,False,0.8807961321,False,0.9070695866,valid,0.0701084755,0.151770322,False,True,False,False,none,0.026154553,False,False,True,0.1269811104,0.3353042416,False,3,False,0,False,,0,No Action,0.0080144478,Not-Warning
False,0.9293117536,False,0.1344931918,False,0.0731040197,pass,permerror,pass,True,False,False,0.0085171546,0,False,False,0,0,0,0.0119378013,0.026746735,False,False,False,False,0.0381029744,False,0,0.0352465589,0.0046784508,,True,False,0.9302049818,False,False,0.9654391488,False,0.1348176259,0.1230419933,0.7396912718,True,2,False,0.9423017645,False,0.9541522192,valid,0.0533363781,0.0336296063,False,True,True,True,meeting_request,0.0984221683,False,False,False,0.0375990791,0.455166236,False,7,False,0,False,TLS 1.2,0,No Action,0.1280927611,Not-Warning
False,0.8268166238,False,0.1601270169,True,0.1332146392,pass,none,pass,True,False,False,0.1225761729,0,False,False,0,0,0,0.0042731732,0.0267466604,False,False,False,False,0.0321911855,False,0,0.1256175392,0.0398586119,,False,False,0.8001276307,False,False,0.9922782475,False,0.0207865329,0.0065257812,0.7456709824,False,1,False,0.875118821,False,0.82624048,valid,0.0821948839,0.0368057214,False,True,False,False,invoice_payment,0.2225702528,False,True,False,0.1887072946,0.6003108803,False,6,False,0,False,TLS 1.2,0,No Action,0.1396197022,Not-Warning
False,0.7852649856,False,0.1125348389,True,0.1572192981,pass,pass,pass,True,False,False,0.0632062484,0,False,False,0,0,2,0.0506480274,0.0356407673,False,False,False,False,0.0313568077,False,0,0.1406665604,0.0315814707,,False,False,0.929028619,False,False,0.8442665149,False,0.1457591693,0.1260947217,0.9072565828,False,1,False,0.7420909453,False,0.7501721673,valid,0.1488704813,0.0357655745,False,True,False,False,wire_transfer,0.1250333351,True,False,False,0.1353400074,0.6192298168,False,4,False,0,False,TLS 1.3,0,No Action,0.2091641756,Not-Warning
False,0.8330232161,True,0.0076011728,False,0.0730275099,softfail,temperror,pass,True,False,False,0.1233265719,0,False,False,0,0,0,0.0836465385,0.0214283644,False,False,False,False,0.0477241512,False,0,0.0107239828,0.0102913394,,True,False,0.9930321116,True,False,0.8261304373,False,0.0128229094,0.0282653691,0.8047270437,False,3,False,0.8187757188,False,0.9814693318,valid,0.0514319168,0.138483219,True,True,False,False,document_download,0.2303643328,False,False,False,0.0080751291,0.3257742334,False,11,False,0,False,TLS 1.2,0,No Action,0.1817072247,Not-Warning
