sender_known_malicious,sender_domain_reputation_score,sender_spoof_detected,sender_temp_email_likelihood,dmarc_enforced,sender_name_similarity_to_vip,spf_result,dkim_result,dmarc_result,reverse_dns_valid,packer_detected,any_file_hash_malicious,max_metadata_suspicious_score,malicious_attachment_count,has_executable_attachment,unscannable_attachment_present,total_components_detected_malicious,total_yara_match_count,total_ioc_count,max_behavioral_sandbox_score,max_amsi_suspicion_score,any_macro_enabled_document,any_vbscript_javascript_detected,any_active_x_objects_detected,any_network_call_on_open,max_exfiltration_behavior_score,any_exploit_pattern_detected,total_embedded_file_count,max_suspicious_string_entropy_score,max_sandbox_execution_time,unique_parent_process_names,return_path_mismatch_with_from,return_path_known_malicious,return_path_reputation_score,reply_path_known_malicious,reply_path_diff_from_sender,reply_path_reputation_score,smtp_ip_known_malicious,smtp_ip_geo,smtp_ip_asn,smtp_ip_reputation_score,domain_known_malicious,url_count,dns_morphing_detected,domain_tech_stack_match_score,url_decoded_spoof_detected,url_reputation_score,ssl_validity_status,site_visual_similarity_to_known_brand,url_rendering_behavior_score,link_rewritten_through_redirector,token_validation_success,is_high_risk_role_targeted,urgency_keywords_present,request_type,content_spam_score,user_marked_as_spam_before,bulk_message_indicator,unsubscribe_link_present,marketing_keywords_detected,html_text_ratio,image_only_email,total_links_detected,url_shortener_detected,url_redirect_chain_length,final_url_known_malicious,tls_version,Analysis_of_the_qrcode_if_present,Final Classification,warning_risk,Binary_Label
False,0.9244607608,False,0.1449880963,True,0.1191449671,pass,pass,none,True,False,False,0.0886480899,0,False,False,0,0,0,0.0789267658,0.0034476531,False,False,False,False,0.0143581086,False,0,0.0263120392,0.0037976817,,False,False,0.8476155959,False,False,0.9463987845,False,0.1066016334,0.0935715233,0.894953902,False,5,False,0.9896497139,False,0.9532571683,valid,0.0533149481,0.0362936838,False,True,False,0.3049841437,link_click,0.1595763831,False,False,False,0.1025220368,0.4982575635,False,7,False,1,False,TLS 1.3,0,No Action,0.1402564981,Not-Warning
False,0.9063190052,False,0.1176678815,True,0.1081075794,pass,neutral,pass,True,False,False,0.0241799224,0,False,False,0,0,0,0.0111218883,0.0235674782,False,False,False,False,0.0284081022,False,0,0.061967424,0.02502788,,False,False,0.9446350599,False,False,0.8301205778,False,0.1172540689,0.0140634548,0.7947898896,False,2,False,0.9658913698,False,0.8250503083,valid,0.0810230942,0.0009419464,False,True,False,0.0595214246,meeting_request,0.0485113715,False,False,False,0.1399982868,0.5043743051,False,2,False,0,False,TLS 1.2,0,No Action,0.0870479594,Not-Warning
False,0.8211523661,False,0.1114868804,True,0.0828107522,pass,pass,neutral,True,False,False,0.0021660071,0,False,False,0,0,0,0.0760882777,0.0076457969,False,False,False,False,0.0092719698,False,0,0.0719931038,0.0263546653,,False,False,0.9042016284,False,False,0.9276369659,False,0.0033988635,0.0785298309,0.912223193,False,3,False,0.7796430282,False,0.9017080332,valid,0.0384896095,0.0738513698,False,True,False,0.1689859219,none,0.0466536773,False,False,False,0.0559571637,0.3826200088,False,4,False,0,False,TLS 1.3,0,No Action,0.0303785597,Not-Warning
False,0.9337413951,False,0.062253087,True,0.129825908,pass,neutral,pass,True,False,False,0.0228143876,0,False,False,0,0,0,0.078783553,0.004402005,False,False,False,False,0.0170567353,False,0,0.0056566048,0.00146985,,False,False,0.8693030793,False,False,0.7941511687,False,0.0279603121,0.0644544874,0.8449127956,False,7,False,0.9158045144,False,0.8911451278,valid,0.076372004,0.0170045006,False,True,False,0.3368726102,none,0.0322654695,False,False,False,0.0562130646,0.6869070512,False,0,False,0,False,TLS 1.2,0,No Action,0.1156411789,Not-Warning
False,0.9041406884,False,0.1436053442,True,0.0607940403,pass,pass,pass,True,False,False,0.0397945269,0,False,False,0,0,0,0.0217038784,0.0116616444,False,False,False,False,0.0231287834,False,0,0.0317896978,0.0004016288,,False,False,0.7837013911,False,True,0.9769691684,False,0.073773115,0.0259896402,0.8935040591,False,5,False,0.8291057367,False,0.9878542367,valid,0.0534171377,0.0125806205,True,True,False,0.0470835851,none,0.1613921795,False,False,False,0.0811043349,0.7266187047,False,3,True,0,False,TLS 1.3,0,No Action,0.0364007013,Not-Warning
False,0.8507566952,False,0.1017304343,True,0.1201323681,pass,neutral,none,True,False,False,0.042375156,0,False,False,0,0,0,0.0296743969,0.0296805927,False,False,False,False,0.0012272429,False,0,0.0144701416,0.0281321306,,False,False,0.8614696925,False,True,0.8904838232,False,0.1266284755,0.0289432374,0.8619175009,False,7,False,0.7573694018,False,0.7723458278,valid,0.0806775331,0.0012064753,False,True,False,0.0920337564,link_click,0.0608712033,False,False,False,0.1302062164,0.6580394297,False,0,False,0,False,TLS 1.2,0,No Action,0.0079461947,Not-Warning
False,0.8041603272,False,0.0097309056,True,0.0536952786,pass,pass,pass,True,False,False,0.0826904959,0,False,False,0,0,0,0.0385939433,0.0155462643,False,False,False,False,0.0230319552,False,0,0.09160145,0.0152962724,,False,False,0.9920573741,False,False,0.9316740687,False,0.1261156649,0.0801526272,0.8615140586,False,1,False,0.9155457613,False,0.8853800889,valid,0.0972512293,0.0472303623,False,False,False,0.1762314153,none,0.1618754746,False,False,False,0.0756945317,0.3580165768,False,1,False,0,False,TLS 1.2,0,No Action,0.1226767542,Not-Warning
False,0.7496118746,False,0.1056558601,True,0.0260768792,pass,pass,pass,True,False,False,0.017746378,0,False,False,0,0,0,0.0671241447,0.0200053101,False,False,False,False,0.0043791826,False,0,0.096882218,0.0283452665,,False,False,0.7970047676,False,False,0.9906640223,False,0.1257041827,0.096678788,0.7977571011,False,0,False,0.9980932675,False,0.8159504557,valid,0.0039246518,0.0221652334,False,True,False,0.2714455368,link_click,0.1625438626,False,False,False,0.0474123424,0.5786534491,False,5,False,0,False,TLS 1.3,0,No Action,0.1483913358,Not-Warning
False,0.9533601933,False,0.0890811807,True,0.0668272072,pass,pass,pass,True,False,False,0.0737336099,0,False,False,0,0,0,0.0795605156,0.0170644862,False,False,False,False,0.0140121475,False,0,0.0566399387,0.0253869356,,False,False,0.8231703426,False,False,0.8741532656,False,0.0127034603,0.0841613317,0.8231364584,False,4,False,0.9842285606,False,0.8857118967,valid,0.0131594648,0.0253037192,False,True,False,0.2113901011,meeting_request,0.0021488076,False,False,False,0.0206194413,0.5470632014,False,4,False,0,False,TLS 1.3,0,No Action,0.1348529365,Not-Warning
False,0.7797042238,False,0.103947987,True,0.0644360027,pass,pass,pass,True,False,False,0.020534712,0,False,False,0,0,0,0.0123082387,0.0042562006,False,False,False,False,0.0073940492,False,0,0.0348885714,0.025691701,,True,False,0.7936625069,False,False,0.8023575417,False,0.0343899448,0.0393937977,0.7804481163,False,6,False,0.8974047346,False,0.8068036915,valid,0.0009549772,0.0697647191,True,True,False,0.198198047,document_download,0.018057821,False,False,False,0.0381821333,0.5357667188,False,5,False,0,False,TLS 1.3,0,No Action,0.0548927968,Not-Warning
