sender_known_malicious,sender_domain_reputation_score,sender_spoof_detected,sender_temp_email_likelihood,dmarc_enforced,sender_name_similarity_to_vip,spf_result,dkim_result,dmarc_result,reverse_dns_valid,packer_detected,any_file_hash_malicious,max_metadata_suspicious_score,malicious_attachment_count,has_executable_attachment,unscannable_attachment_present,total_components_detected_malicious,total_yara_match_count,total_ioc_count,max_behavioral_sandbox_score,max_amsi_suspicion_score,any_macro_enabled_document,any_vbscript_javascript_detected,any_active_x_objects_detected,any_network_call_on_open,max_exfiltration_behavior_score,any_exploit_pattern_detected,total_embedded_file_count,max_suspicious_string_entropy_score,max_sandbox_execution_time,unique_parent_process_names,return_path_mismatch_with_from,return_path_known_malicious,return_path_reputation_score,reply_path_known_malicious,reply_path_diff_from_sender,reply_path_reputation_score,smtp_ip_known_malicious,smtp_ip_geo,smtp_ip_asn,smtp_ip_reputation_score,domain_known_malicious,url_count,dns_morphing_detected,domain_tech_stack_match_score,url_decoded_spoof_detected,url_reputation_score,ssl_validity_status,site_visual_similarity_to_known_brand,url_rendering_behavior_score,link_rewritten_through_redirector,token_validation_success,is_high_risk_role_targeted,urgency_keywords_present,request_type,content_spam_score,user_marked_as_spam_before,bulk_message_indicator,unsubscribe_link_present,marketing_keywords_detected,html_text_ratio,image_only_email,total_links_detected,url_shortener_detected,url_redirect_chain_length,final_url_known_malicious,tls_version,Analysis_of_the_qrcode_if_present,Final Classification,warning_risk,Binary_Label
False,0.1744848509,False,0.3025387906,False,0.2280410759,softfail,none,pass,False,False,False,0.3285165283,0,False,False,0,0,4,0.0398136005,0.0591580856,False,True,False,False,0.1054956732,False,1,0.0073240421,0.0454840798,,False,False,0.3216081117,False,True,0.3392887362,False,0.7301913255,0.3282794368,0.5573737761,True,0,False,0.3079157522,False,0.4169740426,self_signed,0.6726151065,0.2404795208,False,False,True,False,urgent_callback,0.5551911624,True,False,False,0.1462284576,0.3701069613,False,1,False,0,False,TLS 1.1,0,Warning,0.6392467325,Warning
False,0.2609405754,True,0.4742695711,False,0.7913038921,temperror,fail,none,False,False,False,0.3314732441,0,False,False,0,0,0,0.1148089153,0.0529360784,False,False,False,False,0.113215627,False,0,0.0334441808,0.0581846836,,False,False,0.3681455872,False,True,0.3193913697,False,0.3993098061,0.336216887,0.4391877529,False,2,False,0.4863552402,False,0.3587026958,no_ssl,0.2621756159,0.6780374793,False,False,True,True,credential_request,0.5997755564,False,True,False,0.2670085311,0.4095153184,False,8,False,0,False,TLS 1.3,0,Warning,0.4062091771,Warning
True,0.5899796339,True,0.304171304,False,0.8229820299,pass,fail,pass,False,False,False,0.2284492794,0,False,False,0,3,1,0.0603020038,0.1857149831,False,False,False,False,0.0281246087,False,2,0.0784500577,0.0313291661,,True,False,0.325453667,False,False,0.3833606518,False,0.6295573864,0.4559478387,0.4518307473,False,2,False,0.4837024039,True,0.5151776972,self_signed,0.3236741955,0.2662957485,False,False,False,True,meeting_request,0.524713442,False,True,False,0.1668135216,0.6443834289,False,4,True,2,False,TLS 1.0,0,Warning,0.4598144356,Warning
False,0.4662300254,True,0.6502852529,False,0.2692675196,temperror,pass,temperror,False,False,True,0.3470113743,0,False,False,2,1,1,0.171320622,0.070870118,True,False,False,False,0.1103843416,False,0,0.1479521081,0.0516745433,,True,False,0.3276975584,False,False,0.371390551,False,0.3088701286,0.3915906405,0.5768264067,False,2,False,0.5984154226,False,0.5663451318,valid,0.2579840851,0.5774530261,True,False,True,True,none,0.2891820854,False,False,False,0.1494249805,0.4748970778,False,13,False,0,False,,0,Warning,0.7932790457,Warning
True,0.5006853753,True,0.7965362117,False,0.8063199404,pass,none,neutral,False,False,False,0.351265062,0,False,False,1,0,3,0.0355391593,0.0802897156,False,False,False,True,0.1418952129,False,0,0.2189942359,0.0872295056,,True,False,0.2607907277,True,False,0.2315103716,False,0.7140359819,0.5491590577,0.564967653,True,0,False,0.5753433586,True,0.5675934343,expired,0.2700658675,0.2534689119,False,False,True,True,urgent_callback,0.3659763516,False,False,False,0.155181503,0.6709251408,False,10,False,1,False,TLS 1.0,0,Warning,0.4492610879,Warning
True,0.333767815,False,0.5803366925,True,0.7338385858,softfail,temperror,neutral,True,False,True,0.0381963196,0,False,False,0,0,0,0.0881753789,0.0560902566,False,True,False,False,0.0847732017,False,0,0.067536405,0.0454515861,,False,False,0.3299741427,False,False,0.2468910712,False,0.6546853329,0.326688648,0.5726187267,True,6,False,0.2415935968,False,0.4196657496,valid,0.6931637275,0.3849589107,False,True,True,True,bank_detail_update,0.5398168742,False,False,False,0.200240715,0.4295416308,True,10,False,4,False,TLS 1.3,0,Warning,0.8239325534,Warning
False,0.5643988765,True,0.7392848849,False,0.3248937286,softfail,permerror,none,True,False,False,0.0480497207,0,False,True,0,0,0,0.0585351448,0.1076158928,False,False,False,False,0.0240378955,False,1,0.0463752129,0.0908350525,,False,True,0.2211561875,False,True,0.4698900575,False,0.6689699179,0.6758151626,0.2820273992,False,2,False,0.3566351061,True,0.3076455953,invalid,0.7867255004,0.2338808521,False,False,True,True,urgent_callback,0.2507553949,False,False,False,0.3285787842,0.5377409616,False,10,False,0,False,TLS 1.3,0,Warning,0.691875974,Warning
False,0.2056637035,True,0.5652930765,True,0.5978032876,neutral,pass,neutral,False,False,False,0.0159210207,1,False,False,1,1,4,0.1453615308,0.1238217599,True,False,False,False,0.0827833598,False,0,0.142739739,0.0971099024,,True,False,0.3713353607,False,True,0.250817902,False,0.7632383251,0.3337342502,0.2064896314,False,3,False,0.3770084127,True,0.2006477851,self_signed,0.2330277833,0.4568170101,True,False,True,True,invoice_verification,0.2285388337,True,False,False,0.1354929322,0.3974697435,False,0,True,0,True,TLS 1.1,0,Warning,0.7624507938,Warning
False,0.8294005417,False,0.00294649,True,0.0949214004,pass,pass,permerror,True,False,False,0.1138339463,0,False,False,0,0,0,0.026564376,0.0362773486,False,False,False,False,0.0241937954,False,0,0.1146973436,0.032873825,,False,False,0.7957207754,False,False,0.7012727127,False,0.1491172948,0.072605025,0.9379331976,False,4,False,0.7389255692,False,0.702815267,valid,0.0613383826,0.0272393161,False,True,False,True,none,0.2145900212,False,False,False,0.0264062862,0.5479156923,False,6,False,0,False,TLS 1.2,0,No Action,0.0081184387,Not-Warning
False,0.9621056686,False,0.1918364636,False,0.1740379831,pass,pass,pass,False,False,False,0.015950766,0,False,False,0,0,0,0.0429472079,0.0250943883,False,False,False,True,0.0340130481,False,0,0.0348672409,0.0052467938,,False,False,0.8708444352,False,False,0.8099566241,False,0.1125219146,0.0528776386,0.7337147567,False,1,False,0.8965512206,False,0.8602256724,valid,0.1819381164,0.0137819474,True,True,False,True,link_click,0.048913624,False,False,False,0.0957267206,0.3162343578,False,6,False,0,False,TLS 1.3,0,No Action,0.1556720907,Not-Warning
