sender_known_malicious,sender_domain_reputation_score,sender_spoof_detected,sender_temp_email_likelihood,dmarc_enforced,sender_name_similarity_to_vip,spf_result,dkim_result,dmarc_result,reverse_dns_valid,packer_detected,any_file_hash_malicious,max_metadata_suspicious_score,malicious_attachment_count,has_executable_attachment,unscannable_attachment_present,total_components_detected_malicious,total_yara_match_count,total_ioc_count,max_behavioral_sandbox_score,max_amsi_suspicion_score,any_macro_enabled_document,any_vbscript_javascript_detected,any_active_x_objects_detected,any_network_call_on_open,max_exfiltration_behavior_score,any_exploit_pattern_detected,total_embedded_file_count,max_suspicious_string_entropy_score,max_sandbox_execution_time,unique_parent_process_names,return_path_mismatch_with_from,return_path_known_malicious,return_path_reputation_score,reply_path_known_malicious,reply_path_diff_from_sender,reply_path_reputation_score,smtp_ip_known_malicious,smtp_ip_geo,smtp_ip_asn,smtp_ip_reputation_score,domain_known_malicious,url_count,dns_morphing_detected,domain_tech_stack_match_score,url_decoded_spoof_detected,url_reputation_score,ssl_validity_status,site_visual_similarity_to_known_brand,url_rendering_behavior_score,link_rewritten_through_redirector,token_validation_success,is_high_risk_role_targeted,urgency_keywords_present,request_type,content_spam_score,user_marked_as_spam_before,bulk_message_indicator,unsubscribe_link_present,marketing_keywords_detected,html_text_ratio,image_only_email,total_links_detected,url_shortener_detected,url_redirect_chain_length,final_url_known_malicious,tls_version,Analysis_of_the_qrcode_if_present,Final Classification,warning_risk,Binary_Label
False,0.1211744298,True,0.5319252608,True,0.2974659083,fail,permerror,fail,True,False,False,0.2073084885,1,False,False,0,2,0,0.2512255772,0.1013815497,False,False,False,False,0.0067048975,False,0,0.0764922591,0.0117860438,,True,False,0.3543380422,False,False,0.461055277,False,0.502463555,0.3176573668,0.3738513345,False,2,False,0.3654636754,False,0.3757866398,self_signed,0.3384896788,0.2685670723,False,False,False,True,credential_request,0.4565743309,False,False,False,0.083418012,0.4512289874,True,7,False,1,False,TLS 1.1,0,Warning,0.6191900122,Warning
False,0.2384026094,True,0.3151575684,False,0.4759031371,fail,permerror,fail,True,False,False,0.0412741397,0,False,False,1,0,2,0.210189296,0.1728073709,False,False,False,False,0.0013727679,True,0,0.0488698769,0.0018779333,,True,False,0.2077649801,False,True,0.3278949044,False,0.3197143593,0.6709547582,0.4404438024,False,1,False,0.3264547859,False,0.2058323471,valid,0.7717419943,0.6639260147,False,True,True,True,credential_request,0.3692619488,False,False,False,0.0698216512,0.4796260411,False,11,False,2,False,TLS 1.1,0,Warning,0.6179447447,Warning
False,0.9279640882,False,0.0764759666,True,0.1215418588,pass,pass,neutral,True,False,False,0.0085284352,0,False,False,0,0,0,0.0677691682,0.0058888471,False,False,False,False,0.0036066886,False,0,0.0454948788,0.0246548132,,False,False,0.8535172816,False,False,0.9325515785,False,0.1112384102,0.0350417979,0.9476437409,False,6,False,0.8036850203,False,0.9595304244,valid,0.0608233131,0.0492163256,False,True,False,False,link_click,0.1961906679,False,False,False,0.0623378845,0.4983897032,False,3,False,0,False,TLS 1.2,0,No Action,0.1612072561,Not-Warning
False,0.4786571794,True,0.470090388,False,0.7297294215,pass,neutral,neutral,True,False,False,0.3093853521,0,False,False,0,0,3,0.148312552,0.1541678033,False,False,False,True,0.0679364128,True,0,0.2962987184,0.0933920051,,False,False,0.451255735,False,False,0.2255675788,False,0.5973242459,0.5245649152,0.246597557,True,2,False,0.4903614723,False,0.4499786193,valid,0.7011360271,0.3585334549,False,False,True,True,credential_request,0.3200820466,False,False,False,0.1518324643,0.3612147042,False,3,True,1,True,TLS 1.2,0,Warning,0.4113661178,Warning
False,0.927087228,False,0.0253830138,True,0.0576217415,pass,none,pass,True,False,False,0.0835123151,0,False,False,0,0,0,0.0580207611,0.0121136661,False,False,False,False,0.0166740399,False,0,0.0463396643,0.0043442944,,False,False,0.9172471115,False,False,0.9390716629,False,0.1440159733,0.0383101872,0.8385513223,False,5,False,0.991810928,False,0.7585786182,valid,0.0257427337,0.038899351,True,True,False,False,meeting_request,0.0898473501,False,False,False,0.0524455888,0.6188746885,False,2,True,0,False,TLS 1.3,0,No Action,0.1249295175,Not-Warning
False,0.8371383095,False,0.0789175362,True,0.1064911582,pass,pass,pass,False,False,False,0.086242903,0,False,False,0,0,1,0.0079630739,0.0173767831,False,False,False,False,0.0095287097,False,0,0.0446331767,0.0186256487,,False,False,0.8121791689,False,False,0.8774426886,False,0.1418623367,0.0861389265,0.7576303692,False,1,False,0.8824192557,False,0.8606797358,valid,0.0744315033,0.0959658441,True,True,False,False,document_download,0.029147382,False,False,False,0.1404286309,0.5358352476,False,4,False,0,False,TLS 1.3,0,No Action,0.0114827902,Not-Warning
False,0.7818394315,False,0.0172839387,True,0.0102558078,pass,pass,pass,True,False,False,0.0118397842,0,False,False,0,0,0,0.0065380561,0.028225885,False,False,False,False,0.0180322157,False,1,0.0974899948,0.0060067434,,False,False,0.77067441,False,True,0.9548242005,False,0.049352548,0.0363836294,0.7990741357,False,3,False,0.7503220707,False,0.7621322778,valid,0.0346391837,0.0358097968,False,True,False,False,link_click,0.1055134085,False,False,False,0.047096814,0.6070865893,False,3,False,1,False,TLS 1.3,0,No Action,0.0592552529,Not-Warning
False,0.970047803,False,0.1111605403,True,0.0492542282,neutral,pass,pass,True,False,False,0.032882365,0,False,False,0,0,0,0.0749830961,0.0018347975,False,False,False,False,0.0214170898,False,0,0.024598884,0.0156330836,,False,False,0.9031472468,False,False,0.7679642541,False,0.0054742576,0.0265002118,0.7780827805,False,2,False,0.8669267271,False,0.9742263435,valid,0.097701976,0.0825992917,True,True,False,False,none,0.1410794004,False,False,False,0.0173443593,0.6577397994,False,11,False,0,False,TLS 1.3,0,No Action,0.0844447826,Not-Warning
False,0.7118936985,False,0.0757190025,False,0.1375885405,neutral,neutral,fail,True,False,False,0.0378647026,0,False,False,0,0,0,0.0744974989,0.0236634785,False,False,False,False,0.0041124571,False,0,0.0742911786,0.0127792238,,False,False,0.7565887099,False,False,0.8052559012,False,0.0888199032,0.0635085127,0.9966565947,False,5,False,0.9767857141,False,0.8354466202,valid,0.0505581468,0.0660408075,False,True,False,False,meeting_request,0.0292070512,False,False,False,0.136792702,0.4942572494,False,3,False,1,False,TLS 1.2,0,No Action,0.1590977893,Not-Warning
False,0.9154568544,False,0.0159840855,True,0.0406581606,pass,pass,none,True,False,False,0.0689336124,0,False,False,0,0,1,0.0306818023,0.0229568818,False,False,False,False,0.0215392874,False,0,0.0335532934,0.0174260154,,False,False,0.831457581,False,False,0.953968033,False,0.069249943,0.0415366937,0.8096320815,False,1,False,0.9721240487,False,0.8501351939,valid,0.0669070531,0.0406472976,False,True,False,False,link_click,0.1398793081,False,False,False,0.0477212934,0.476794234,False,4,False,0,False,TLS 1.2,0,No Action,0.0870823549,Not-Warning
False,0.9928365859,False,0.0110354461,True,0.0326278801,fail,pass,pass,True,False,False,0.0435807217,0,False,False,0,0,0,0.0451820708,0.0042535893,False,False,False,False,0.0299895055,False,0,0.0885875236,0.0151049421,,False,False,0.850050842,False,False,0.8356359739,False,0.1149020545,0.0709766876,0.9597862437,False,2,False,0.876847914,False,0.931821686,valid,0.0778139914,0.0334438527,True,True,False,False,link_click,0.1646082026,False,False,False,0.0062612561,0.6448612045,False,4,False,0,False,TLS 1.2,0,No Action,0.0620594733,Not-Warning
