sender_known_malicious,sender_domain_reputation_score,sender_spoof_detected,sender_temp_email_likelihood,dmarc_enforced,sender_name_similarity_to_vip,spf_result,dkim_result,dmarc_result,reverse_dns_valid,packer_detected,any_file_hash_malicious,max_metadata_suspicious_score,malicious_attachment_count,has_executable_attachment,unscannable_attachment_present,total_components_detected_malicious,total_yara_match_count,total_ioc_count,max_behavioral_sandbox_score,max_amsi_suspicion_score,any_macro_enabled_document,any_vbscript_javascript_detected,any_active_x_objects_detected,any_network_call_on_open,max_exfiltration_behavior_score,any_exploit_pattern_detected,total_embedded_file_count,max_suspicious_string_entropy_score,max_sandbox_execution_time,unique_parent_process_names,return_path_mismatch_with_from,return_path_known_malicious,return_path_reputation_score,reply_path_known_malicious,reply_path_diff_from_sender,reply_path_reputation_score,smtp_ip_known_malicious,smtp_ip_geo,smtp_ip_asn,smtp_ip_reputation_score,domain_known_malicious,url_count,dns_morphing_detected,domain_tech_stack_match_score,url_decoded_spoof_detected,url_reputation_score,ssl_validity_status,site_visual_similarity_to_known_brand,url_rendering_behavior_score,link_rewritten_through_redirector,token_validation_success,is_high_risk_role_targeted,urgency_keywords_present,request_type,content_spam_score,user_marked_as_spam_before,bulk_message_indicator,unsubscribe_link_present,marketing_keywords_detected,html_text_ratio,image_only_email,total_links_detected,url_shortener_detected,url_redirect_chain_length,final_url_known_malicious,tls_version,Analysis_of_the_qrcode_if_present,Final Classification,warning_risk,Binary_Label
False,0.1125053776,True,0.4116053691,False,0.6736896412,temperror,pass,fail,True,False,False,0.0106143879,0,False,False,0,0,2,0.0019496279,0.1611638504,False,False,False,False,0.0504891818,False,0,0.2542483099,0.0603726031,,False,False,0.3608684274,False,True,0.3656121894,False,0.6092598762,0.6446827601,0.4309408581,False,0,True,0.3157551854,True,0.2931163545,valid,0.3667841619,0.5178422221,False,True,True,0.5468378021,meeting_request,0.4592141541,False,False,False,0.0653609975,0.4517821767,False,5,False,1,False,TLS 1.3,0,Warning,0.416050122,Warning
True,0.233870438,True,0.7714548572,False,0.4202745166,neutral,fail,temperror,True,False,False,0.2245472537,0,False,False,0,0,7,0.1528578881,0.0181818824,True,False,False,False,0.063323995,False,0,0.2988364141,0.0529114345,,False,False,0.2034443066,False,False,0.3610910991,False,0.6204808993,0.3446208694,0.3739061003,False,7,False,0.3053556203,False,0.2714607522,no_ssl,0.7223111419,0.3492223957,False,False,True,0.81938094,bank_detail_update,0.5114505915,False,True,False,0.007790697,0.6716394465,False,8,False,0,False,,0,Warning,0.6429952317,Warning
True,0.4803010826,False,0.3641957322,False,0.5848625154,fail,temperror,fail,True,False,False,0.0804604254,0,False,False,0,0,0,0.0674092011,0.0676171124,False,False,False,True,0.0946654436,False,2,0.2578906201,0.007085735,,True,False,0.2642710422,False,False,0.371312928,False,0.6923097121,0.6229987991,0.2761639657,True,2,False,0.3868098672,False,0.4693458189,no_ssl,0.2590507227,0.4013106411,False,False,True,0.5046148996,invoice_payment,0.3687526559,False,False,False,0.177252298,0.6445396419,False,1,False,2,False,,0,Warning,0.4831555553,Warning
False,0.2068736496,True,0.3293177,False,0.8897161906,fail,none,none,True,False,False,0.2223073294,0,False,False,2,0,0,0.2243926681,0.0114330546,False,False,False,False,0.1441168355,False,0,0.1785105319,0.0675212554,,True,True,0.4670861942,False,False,0.3858144531,False,0.5918361446,0.5091130862,0.5738825031,True,4,True,0.3583143387,False,0.3199988319,invalid,0.6511186954,0.2362715572,False,False,False,0.4402933966,sensitive_data_request,0.3060801659,False,False,False,0.1478108355,0.3630987329,False,6,False,4,False,TLS 1.0,0,Warning,0.5496893761,Warning
False,0.569465002,True,0.3577143352,True,0.5872565486,fail,neutral,neutral,True,False,False,0.1954127409,1,False,False,0,0,0,0.2313357669,0.1274226755,False,False,False,False,0.0014504549,False,1,0.2711785715,0.0545590289,,False,False,0.2444281357,False,True,0.4696944466,False,0.730351291,0.6595698546,0.2840306153,True,1,False,0.5536538806,False,0.4482646041,valid,0.7579286094,0.6323028481,False,False,False,0.413632499,invoice_verification,0.3328741872,False,False,False,0.3242997266,0.4067222838,False,1,False,2,False,TLS 1.3,0,Warning,0.5525954337,Warning
False,0.2137977437,True,0.3965648942,False,0.8050470594,permerror,fail,none,True,False,False,0.3756948561,0,False,False,2,0,0,0.1303691276,0.1457090121,False,False,False,False,0.0864882065,False,1,0.0005073835,0.0925575165,,True,False,0.4225850234,False,True,0.2209921433,False,0.465100018,0.425566258,0.5392061118,False,2,False,0.3633571634,False,0.318262081,valid,0.4522678003,0.6701818354,False,False,True,0.565522431,bank_detail_update,0.2001623759,False,False,False,0.2618822495,0.4859952761,False,2,False,3,False,TLS 1.1,0,Warning,0.657726005,Warning
False,0.2675941277,False,0.6755690688,False,0.3572484662,fail,pass,fail,True,False,True,0.1657764044,0,False,False,0,0,1,0.0016634454,0.1501928953,False,False,False,False,0.1436949063,False,0,0.0747594839,0.0848336347,,True,False,0.4002733198,False,False,0.4850118825,False,0.6063261614,0.5877095845,0.4019112659,False,3,False,0.4974621769,False,0.3036766194,valid,0.5825968621,0.5829068421,False,False,True,0.4426158446,sensitive_data_request,0.3086860428,False,False,False,0.0925045919,0.5775799249,False,1,False,1,False,TLS 1.1,0,Warning,0.8524192392,Warning
False,0.4477614932,False,0.6827972881,False,0.2041272585,fail,none,temperror,False,False,False,0.2184529239,0,False,False,0,0,0,0.2037425655,0.0808633338,False,False,False,False,0.0040449678,False,0,0.0081306139,0.0642749648,,True,False,0.21508539,False,True,0.2980537415,False,0.4895631078,0.6008039294,0.5327697141,True,0,True,0.4157676192,False,0.3399841375,self_signed,0.6687398298,0.5258773276,False,False,True,0.4112090095,credential_request,0.2504883899,False,False,False,0.2797859885,0.6067592393,False,5,False,0,False,,0,Warning,0.4128392127,Warning
True,0.4386736434,False,0.4983272208,False,0.2531975345,neutral,neutral,pass,False,False,False,0.048422026,2,False,False,0,0,0,0.1023693525,0.1699151254,False,False,False,False,0.1243060967,False,0,0.2201385912,0.0965473731,,True,False,0.3614518719,False,True,0.4193078643,False,0.72585658,0.6322924076,0.2346651592,False,1,False,0.4441326817,False,0.2114799991,no_ssl,0.3091039143,0.3060599251,False,True,False,0.7856510627,sensitive_data_request,0.2040604458,False,False,False,0.1954311387,0.6032658614,False,5,False,2,True,TLS 1.1,0,Warning,0.5531030151,Warning
False,0.3366302444,True,0.5127519064,False,0.431553908,neutral,fail,fail,True,False,False,0.2143455862,0,False,False,0,0,5,0.1573910607,0.0565997407,True,False,False,False,0.0021222551,False,0,0.2922884793,0.0553358967,,False,True,0.4605383592,False,False,0.3722192659,False,0.5202343991,0.3737454682,0.2205506869,False,2,False,0.3602829769,True,0.4517782828,valid,0.2895185507,0.4814197985,False,False,True,0.8204438949,gift_card_request,0.5162963319,False,False,False,0.1770884016,0.6440666663,False,3,False,1,False,,0,Warning,0.5055125977,Warning
